STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
25,001,010100,1,992,+42.050480,-070.195111
25,001,010100,2,637,+42.061652,-070.167671
25,001,010100,3,642,+42.057362,-070.182888
25,001,010100,4,729,+42.053638,-070.188232
25,001,010100,5,664,+42.048507,-070.191448
25,001,010206,1,926,+41.894584,-069.991855
25,001,010206,2,1113,+41.940977,-070.039261
25,001,010206,3,1527,+41.927940,-070.012236
25,001,010208,1,892,+42.017302,-070.071774
25,001,010208,2,768,+42.038321,-070.092694
25,001,010208,3,794,+41.993101,-070.054165
25,001,010304,1,1153,+41.811560,-069.986083
25,001,010304,2,889,+41.837505,-069.990859
25,001,010304,3,630,+41.820503,-069.973012
25,001,010306,1,1115,+41.859175,-069.991016
25,001,010306,2,1125,+41.848301,-069.979916
25,001,010306,3,840,+41.868697,-069.988116
25,001,010400,1,825,+41.792125,-070.004148
25,001,010400,2,872,+41.786500,-069.996181
25,001,010400,3,669,+41.771478,-069.996937
25,001,010400,4,979,+41.745633,-069.984235
25,001,010500,1,1217,+41.794521,-069.966061
25,001,010500,2,877,+41.782573,-069.951866
25,001,010500,3,868,+41.773922,-069.975769
25,001,010600,1,632,+41.705160,-069.964378
25,001,010600,2,834,+41.703310,-069.997066
25,001,010600,3,1180,+41.695010,-069.969291
25,001,010600,4,488,+41.686160,-069.959592
25,001,010700,1,968,+41.689779,-069.997460
25,001,010700,2,1000,+41.675079,-069.971699
25,001,010700,3,896,+41.677237,-070.008655
25,001,010700,4,596,+41.683514,-070.025973
25,001,010800,1,944,+41.740870,-070.131089
25,001,010800,2,503,+41.764766,-070.086629
25,001,010800,3,805,+41.764114,-070.065997
25,001,010800,4,706,+41.753542,-070.093362
25,001,010800,5,1961,+41.733281,-070.102669
25,001,010900,1,1863,+41.759745,-070.034005
25,001,010900,2,1152,+41.737384,-070.024109
25,001,010900,3,1550,+41.744148,-070.061523
25,001,010900,4,834,+41.757668,-070.049664
25,001,011002,1,733,+41.684810,-070.085818
25,001,011002,2,969,+41.672098,-070.115845
25,001,011002,3,596,+41.664402,-070.101557
25,001,011002,4,2306,+41.700998,-070.103538
25,001,011100,1,986,+41.713709,-070.009808
25,001,011100,2,1202,+41.721540,-070.020523
25,001,011100,3,1705,+41.712630,-070.057511
25,001,011100,4,1182,+41.697247,-070.059617
25,001,011200,1,1292,+41.677153,-070.056356
25,001,011200,2,1193,+41.689849,-070.040010
25,001,011200,3,565,+41.677386,-070.074811
25,001,011200,4,711,+41.669877,-070.082465
25,001,011300,1,620,+41.734753,-070.210062
25,001,011300,2,1206,+41.725054,-070.188281
25,001,011300,3,743,+41.741888,-070.186267
25,001,011400,1,784,+41.734128,-070.150847
25,001,011400,2,995,+41.734057,-070.166857
25,001,011400,3,439,+41.750258,-070.156221
25,001,011400,4,834,+41.717269,-070.150053
25,001,011500,1,712,+41.712870,-070.175050
